timestamp,date,symbol,window,n_items,sentiment_mean,sentiment_min,negative_share,top_topics,sources
2022-05-02T15:45:00-04:00,2022-05-02,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-05-03T15:45:00-04:00,2022-05-03,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-05-04T15:45:00-04:00,2022-05-04,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-05-05T15:45:00-04:00,2022-05-05,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-05-06T15:45:00-04:00,2022-05-06,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-05-09T15:45:00-04:00,2022-05-09,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-05-10T15:45:00-04:00,2022-05-10,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-05-11T15:45:00-04:00,2022-05-11,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-05-12T15:45:00-04:00,2022-05-12,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-05-13T15:45:00-04:00,2022-05-13,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-05-16T15:45:00-04:00,2022-05-16,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-05-17T15:45:00-04:00,2022-05-17,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-05-18T15:45:00-04:00,2022-05-18,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-05-19T15:45:00-04:00,2022-05-19,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-05-20T15:45:00-04:00,2022-05-20,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-05-23T15:45:00-04:00,2022-05-23,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-05-24T15:45:00-04:00,2022-05-24,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-05-25T15:45:00-04:00,2022-05-25,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-05-26T15:45:00-04:00,2022-05-26,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-05-27T15:45:00-04:00,2022-05-27,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-05-30T15:45:00-04:00,2022-05-30,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-05-31T15:45:00-04:00,2022-05-31,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-06-01T15:45:00-04:00,2022-06-01,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-06-02T15:45:00-04:00,2022-06-02,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-06-03T15:45:00-04:00,2022-06-03,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-06-06T15:45:00-04:00,2022-06-06,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-06-07T15:45:00-04:00,2022-06-07,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-06-08T15:45:00-04:00,2022-06-08,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-06-09T15:45:00-04:00,2022-06-09,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-06-10T15:45:00-04:00,2022-06-10,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-06-13T15:45:00-04:00,2022-06-13,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-06-14T15:45:00-04:00,2022-06-14,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-06-15T15:45:00-04:00,2022-06-15,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-06-16T15:45:00-04:00,2022-06-16,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-06-17T15:45:00-04:00,2022-06-17,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-06-20T15:45:00-04:00,2022-06-20,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-06-21T15:45:00-04:00,2022-06-21,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-06-22T15:45:00-04:00,2022-06-22,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-06-23T15:45:00-04:00,2022-06-23,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-06-24T15:45:00-04:00,2022-06-24,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-06-27T15:45:00-04:00,2022-06-27,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-06-28T15:45:00-04:00,2022-06-28,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-06-29T15:45:00-04:00,2022-06-29,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-06-30T15:45:00-04:00,2022-06-30,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-07-01T15:45:00-04:00,2022-07-01,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-07-04T15:45:00-04:00,2022-07-04,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-07-05T15:45:00-04:00,2022-07-05,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-07-06T15:45:00-04:00,2022-07-06,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-07-07T15:45:00-04:00,2022-07-07,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-07-08T15:45:00-04:00,2022-07-08,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-07-11T15:45:00-04:00,2022-07-11,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-07-12T15:45:00-04:00,2022-07-12,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-07-13T15:45:00-04:00,2022-07-13,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-07-14T15:45:00-04:00,2022-07-14,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-07-15T15:45:00-04:00,2022-07-15,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-07-18T15:45:00-04:00,2022-07-18,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-07-19T15:45:00-04:00,2022-07-19,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-07-20T15:45:00-04:00,2022-07-20,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-07-21T15:45:00-04:00,2022-07-21,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-07-22T15:45:00-04:00,2022-07-22,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-07-25T15:45:00-04:00,2022-07-25,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-07-26T15:45:00-04:00,2022-07-26,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-07-27T15:45:00-04:00,2022-07-27,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-07-28T15:45:00-04:00,2022-07-28,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-07-29T15:45:00-04:00,2022-07-29,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-08-01T15:45:00-04:00,2022-08-01,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-08-02T15:45:00-04:00,2022-08-02,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-08-03T15:45:00-04:00,2022-08-03,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-08-04T15:45:00-04:00,2022-08-04,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-08-05T15:45:00-04:00,2022-08-05,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-08-08T15:45:00-04:00,2022-08-08,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-08-09T15:45:00-04:00,2022-08-09,AAPL,24h,1,0.0,0.0,0.0,"[""litigation""]","[""sec_edgar""]"
2022-08-10T15:45:00-04:00,2022-08-10,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-08-11T15:45:00-04:00,2022-08-11,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-08-12T15:45:00-04:00,2022-08-12,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-08-15T15:45:00-04:00,2022-08-15,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-08-16T15:45:00-04:00,2022-08-16,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-08-17T15:45:00-04:00,2022-08-17,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-08-18T15:45:00-04:00,2022-08-18,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-08-19T15:45:00-04:00,2022-08-19,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-08-22T15:45:00-04:00,2022-08-22,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-08-23T15:45:00-04:00,2022-08-23,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-08-24T15:45:00-04:00,2022-08-24,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-08-25T15:45:00-04:00,2022-08-25,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-08-26T15:45:00-04:00,2022-08-26,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-08-29T15:45:00-04:00,2022-08-29,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-08-30T15:45:00-04:00,2022-08-30,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-08-31T15:45:00-04:00,2022-08-31,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-09-01T15:45:00-04:00,2022-09-01,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-09-02T15:45:00-04:00,2022-09-02,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-09-05T15:45:00-04:00,2022-09-05,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-09-06T15:45:00-04:00,2022-09-06,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-09-07T15:45:00-04:00,2022-09-07,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-09-08T15:45:00-04:00,2022-09-08,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-09-09T15:45:00-04:00,2022-09-09,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-09-12T15:45:00-04:00,2022-09-12,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-09-13T15:45:00-04:00,2022-09-13,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-09-14T15:45:00-04:00,2022-09-14,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-09-15T15:45:00-04:00,2022-09-15,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-09-16T15:45:00-04:00,2022-09-16,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-09-19T15:45:00-04:00,2022-09-19,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-09-20T15:45:00-04:00,2022-09-20,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-09-21T15:45:00-04:00,2022-09-21,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-09-22T15:45:00-04:00,2022-09-22,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-09-23T15:45:00-04:00,2022-09-23,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-09-26T15:45:00-04:00,2022-09-26,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-09-27T15:45:00-04:00,2022-09-27,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-09-28T15:45:00-04:00,2022-09-28,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-09-29T15:45:00-04:00,2022-09-29,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-09-30T15:45:00-04:00,2022-09-30,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-10-03T15:45:00-04:00,2022-10-03,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-10-04T15:45:00-04:00,2022-10-04,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-10-05T15:45:00-04:00,2022-10-05,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-10-06T15:45:00-04:00,2022-10-06,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-10-07T15:45:00-04:00,2022-10-07,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-10-10T15:45:00-04:00,2022-10-10,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-10-11T15:45:00-04:00,2022-10-11,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-10-12T15:45:00-04:00,2022-10-12,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-10-13T15:45:00-04:00,2022-10-13,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-10-14T15:45:00-04:00,2022-10-14,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-10-17T15:45:00-04:00,2022-10-17,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-10-18T15:45:00-04:00,2022-10-18,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-10-19T15:45:00-04:00,2022-10-19,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-10-20T15:45:00-04:00,2022-10-20,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-10-21T15:45:00-04:00,2022-10-21,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-10-24T15:45:00-04:00,2022-10-24,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-10-25T15:45:00-04:00,2022-10-25,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-10-26T15:45:00-04:00,2022-10-26,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-10-27T15:45:00-04:00,2022-10-27,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-10-28T15:45:00-04:00,2022-10-28,AAPL,24h,1,0.0,0.0,0.0,"[""earnings"", ""litigation""]","[""sec_edgar""]"
2022-10-31T15:45:00-04:00,2022-10-31,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-11-01T15:45:00-04:00,2022-11-01,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-11-02T15:45:00-04:00,2022-11-02,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-11-03T15:45:00-04:00,2022-11-03,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-11-04T15:45:00-04:00,2022-11-04,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-11-07T15:45:00-05:00,2022-11-07,AAPL,24h,1,0.0,0.0,0.0,"[""litigation""]","[""sec_edgar""]"
2022-11-08T15:45:00-05:00,2022-11-08,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-11-09T15:45:00-05:00,2022-11-09,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-11-10T15:45:00-05:00,2022-11-10,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-11-11T15:45:00-05:00,2022-11-11,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-11-14T15:45:00-05:00,2022-11-14,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-11-15T15:45:00-05:00,2022-11-15,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-11-16T15:45:00-05:00,2022-11-16,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-11-17T15:45:00-05:00,2022-11-17,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-11-18T15:45:00-05:00,2022-11-18,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-11-21T15:45:00-05:00,2022-11-21,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-11-22T15:45:00-05:00,2022-11-22,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-11-23T15:45:00-05:00,2022-11-23,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-11-24T15:45:00-05:00,2022-11-24,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-11-25T15:45:00-05:00,2022-11-25,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-11-28T15:45:00-05:00,2022-11-28,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-11-29T15:45:00-05:00,2022-11-29,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-11-30T15:45:00-05:00,2022-11-30,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-12-01T15:45:00-05:00,2022-12-01,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-12-02T15:45:00-05:00,2022-12-02,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-12-05T15:45:00-05:00,2022-12-05,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-12-06T15:45:00-05:00,2022-12-06,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-12-07T15:45:00-05:00,2022-12-07,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-12-08T15:45:00-05:00,2022-12-08,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-12-09T15:45:00-05:00,2022-12-09,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-12-12T15:45:00-05:00,2022-12-12,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-12-13T15:45:00-05:00,2022-12-13,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-12-14T15:45:00-05:00,2022-12-14,AAPL,24h,0,0.0,0.0,0.0,[],[]
2022-12-15T15:45:00-05:00,2022-12-15,AAPL,24h,0,0.0,0.0,0.0,[],[]
